"Issue Type","Issue ID","Parent ID","Epic Link","Epic Name","Summary","Priority","Story Points","Phase","Labels","PRR Refs","Description","Acceptance Criteria"
"Epic","ACRME-E01","","","Foundation & Platform Infrastructure","Foundation & Platform Infrastructure","","","","ACRME","§23 Logical Component Architecture; §24 MG & Subscription Topology; §38 WAF","Stand up the buildable core: CQRS command/query separation, saga orchestration, the command/event bus, the authoritative engine state store, and provider-isolated Azure adapters.",""
"Story","ACRME-S0101","ACRME-E01","ACRME-E01","","CQRS Command and Query API skeleton behind API gateway","Highest","8","P1","ACRME P1","§23; §35","As a platform engineer, I want a Command API and a Query API fronted by an API gateway, so that state-changing and read operations are cleanly separated and independently scalable.","- Command API and Query API are deployed as separate services behind the API gateway.
- All mutations route only through the Command API; all reads only through the Query API.
- Health/readiness probes return 200 for both services.
- Requests are traced end-to-end with a correlation ID."
"Sub-task","ACRME-T010101","ACRME-S0101","ACRME-E01","","Scaffold Command API service (routing, DI, config, health probes)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T010102","ACRME-S0101","ACRME-E01","","Scaffold Query API service (routing, DI, config, health probes)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T010103","ACRME-S0101","ACRME-E01","","Configure API gateway routes, request size limits, and correlation-ID propagation","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T010104","ACRME-S0101","ACRME-E01","","Add structured logging and distributed tracing baseline","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0102","ACRME-E01","ACRME-E01","","Saga orchestrator and command/event bus","Highest","13","P1","ACRME P1","§23; §38 Reliability","As a platform engineer, I want a persisted saga orchestrator driving operation workers over a command/event bus, so that multi-step Azure operations run reliably with checkpoints and compensation.

Depends on: ACRME-S0101","- Sagas persist each step with a checkpoint and support compensation on failure (closes R-26).
- Operation workers consume commands from the bus and publish events idempotently.
- A partially failed saga can be resumed or compensated without duplicate side effects.
- Saga state is queryable via the operation resource."
"Sub-task","ACRME-T010201","ACRME-S0102","ACRME-E01","","Implement persisted saga state machine with checkpointing","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T010202","ACRME-S0102","ACRME-E01","","Implement command/event bus abstraction and worker pool","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T010203","ACRME-S0102","ACRME-E01","","Implement compensation handlers and partial-saga recovery","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T010204","ACRME-S0102","ACRME-E01","","Add idempotent event publication and de-duplication","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0103","ACRME-E01","ACRME-E01","","Authoritative engine state store and regional snapshot store","Highest","8","P1","ACRME P1","§23; §34; R-33","As a platform engineer, I want an authoritative engine-intent store plus a regional snapshot store, so that engine intent and cached Azure state are separated with clear ownership.

Depends on: ACRME-S0101","- Engine state store is authoritative for engine intent; Azure RPs remain authoritative for Azure state.
- Regional snapshot store holds versioned snapshots consumed by placement.
- Throughput is load-tested and autoscale target documented (closes R-33).
- Optimistic concurrency (state version) is enforced on writes."
"Sub-task","ACRME-T010301","ACRME-S0103","ACRME-E01","","Model and provision the authoritative state store with versioning","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T010302","ACRME-S0103","ACRME-E01","","Model and provision the versioned regional snapshot store","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T010303","ACRME-S0103","ACRME-E01","","Load-test throughput and set autoscale targets (R-33)","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0104","ACRME-E01","ACRME-E01","","Provider-isolated Azure Resource Manager adapters","High","5","P1","ACRME P1","§23; §21; R-01","As a platform engineer, I want Azure API adapters isolated per resource provider behind a stable interface, so that preview APIs can be flag-gated and swapped without touching business logic.

Depends on: ACRME-S0102","- Compute, Reservations, Quota, and Resource Graph adapters sit behind stable interfaces.
- Each adapter records API version used per call for evidence.
- Adapters are individually mockable for unit tests."
"Sub-task","ACRME-T010401","ACRME-S0104","ACRME-E01","","Define adapter interfaces per resource provider","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T010402","ACRME-S0104","ACRME-E01","","Implement Compute/Reservations/Quota/ARG adapters with API-version capture","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T010403","ACRME-S0104","ACRME-E01","","Add adapter-level mocks and contract fixtures","High","","P1","ACRME P1","","",""
"Story","ACRME-S0105","ACRME-E01","ACRME-E01","","Management-group and subscription topology bootstrap","High","5","P1","ACRME P1","§24","As a platform operator, I want the platform/customer MG and provider/consumer subscription topology provisioned as code, so that the engine UAMI and CRGs live in a governed, repeatable hierarchy.","- Platform MG (provider + engine subs) and customer MG (prod/nonprod/dr subs) provisioned via IaC.
- Engine UAMI created in the engine subscription and referenced by downstream role assignments.
- Topology is parameterised so a customer need not share one hierarchy."
"Sub-task","ACRME-T010501","ACRME-S0105","ACRME-E01","","Author IaC for management-group and subscription topology","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T010502","ACRME-S0105","ACRME-E01","","Provision engine User-Assigned Managed Identity","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T010503","ACRME-S0105","ACRME-E01","","Parameterise topology for per-customer variation","High","","P1","ACRME P1","","",""
"Epic","ACRME-E02","","","Subscription & Onboarding Lifecycle","Subscription & Onboarding Lifecycle","","","","ACRME","§22 Must; §26; §43 Onboarding; Runbook B","Onboard and offboard customer subscriptions with provider/consumer authorization validation, location-separation enforcement, and full read-back before a customer is marked ready.",""
"Story","ACRME-S0201","ACRME-E02","ACRME-E02","","Subscription onboarding workflow with prerequisite gates","Highest","13","P1","ACRME P1","§43 Onboarding; §22 Must","As a operations engineer, I want a gated onboarding workflow that collects inputs and validates every prerequisite, so that no customer reaches shared capacity until all checks pass and are recorded.

Depends on: ACRME-S0102","- Onboarding collects account details, environments, SKUs/regions, recovery objectives, and consent.
- Workflow blocks progression until zone map, sharing read-back, quota, and DR-floor checks pass.
- Customer marked ready only after all confirmation gates succeed.
- Every gate result is persisted to the audit trail."
"Sub-task","ACRME-T020101","ACRME-S0201","ACRME-E02","","Model ManagedSubscription entity and onboarding state machine","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T020102","ACRME-S0201","ACRME-E02","","Implement input-collection and consent capture step","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T020103","ACRME-S0201","ACRME-E02","","Wire prerequisite gates (zone, sharing, quota, DR floor) as blocking checks","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T020104","ACRME-S0201","ACRME-E02","","Implement 'ready' marking with full read-back confirmation","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0202","ACRME-E02","ACRME-E02","","Provider and consumer authorization validation","Highest","8","P1","ACRME P1","§25; §22 Must","As a security-conscious operator, I want provider registration and consumer deployment rights validated during onboarding, so that sharing and deployment cannot proceed on an unauthorized subscription.

Depends on: ACRME-S0201","- Provider subscription and RP registration validated before any sharing action.
- Consumer deployment identity rights on the target CRG validated and read back.
- Validation failure blocks onboarding with a structured precondition error."
"Sub-task","ACRME-T020201","ACRME-S0202","ACRME-E02","","Validate provider subscription + resource provider registration","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T020202","ACRME-S0202","ACRME-E02","","Validate consumer deployment identity rights on CRG scope","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T020203","ACRME-S0202","ACRME-E02","","Emit structured precondition failures on authorization gaps","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0203","ACRME-E02","ACRME-E02","","Location separation enforcement (hard constraint) at onboarding","Highest","5","P1","ACRME P1","§43 Onboarding; HC separation","As a capacity architect, I want onboarding to reject layouts where Prod/NonProd/DR are not correctly separated, so that a single regional event cannot take out incompatible environments.

Depends on: ACRME-S0201","- Prod and DR in the same location is rejected; Prod and NonProd in the same location is rejected.
- NonProd co-located with DR is allowed only with recorded policy + customer acceptance.
- Rejection reason is explicit and audited."
"Sub-task","ACRME-T020301","ACRME-S0203","ACRME-E02","","Implement separation-rule validator for environment layout","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T020302","ACRME-S0203","ACRME-E02","","Add NonProd/DR co-location policy exception with acceptance capture","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0204","ACRME-E02","ACRME-E02","","Subscription lifecycle monitoring and offboarding","High","8","P1","ACRME P1","Runbook B; R-10; R-28","As a operations engineer, I want lifecycle monitoring plus a controlled offboarding checklist, so that suspension/transfer and offboarding never strand running VM restarts.

Depends on: ACRME-S0202","- Subscription suspension/transfer triggers revalidation and an alert (closes R-28).
- Offboarding checks active associations before removing sharing (closes R-10).
- Offboarding defaults to deny when active associations exist."
"Sub-task","ACRME-T020401","ACRME-S0204","ACRME-E02","","Implement subscription lifecycle monitor + revalidation (R-28)","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T020402","ACRME-S0204","ACRME-E02","","Implement offboarding checklist with association pre-checks (R-10)","High","","P1","ACRME P1","","",""
"Epic","ACRME-E03","","","CRG & Capacity Reservation Management","CRG & Capacity Reservation Management","","","","ACRME","§25; §30; §5 CR quantity update","Inventory, create, and safely mutate Capacity Reservation Groups and Capacity Reservations modeled by SKU and zone, with guarded quantity changes and no unsafe auto-decrease in Phase 1.",""
"Story","ACRME-S0301","ACRME-E03","ACRME-E03","","CRG and CR inventory by SKU and zone","Highest","8","P1","ACRME P1","§25; §34","As a capacity operator, I want authoritative inventory of CRGs and CRs modeled per SKU and zone, so that placement and scaling decisions run on accurate capacity state.

Depends on: ACRME-S0104","- CRG hierarchy (Prod/NonProd/DR per region) inventoried with CRs by SKU and zone.
- Provider-side inventory is authoritative; ARG used only for diagnostics (R-03).
- Inventory refresh confirms against ARM before use for mutation (R-04)."
"Sub-task","ACRME-T030101","ACRME-S0301","ACRME-E03","","Model CapacityReservationGroup and CapacityReservation entities","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T030102","ACRME-S0301","ACRME-E03","","Implement inventory sync with SKU/zone dimensioning","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T030103","ACRME-S0301","ACRME-E03","","Mark provider inventory authoritative; ARG diagnostics-only (R-03/R-04)","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0302","ACRME-E03","ACRME-E03","","Guarded CR quantity increase","High","8","P1","ACRME P1","§30; R-15; G-24","As a capacity operator, I want approval-gated CR quantity increases via tracked operations, so that capacity grows safely without cost or capacity surprises.

Depends on: ACRME-S0301, ACRME-S0902","- CapacityIncreaseRequest entity with lifecycle, approval, retry, and cancellation (closes G-24).
- Increase requires operator approval and enforces a policy maximum delta (R-15).
- Quantity updated only after validated quota; actual quantity confirmed after change."
"Sub-task","ACRME-T030201","ACRME-S0302","ACRME-E03","","Model CapacityIncreaseRequest entity + lifecycle (G-24)","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T030202","ACRME-S0302","ACRME-E03","","Implement approval gate and max-delta guard (R-15)","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T030203","ACRME-S0302","ACRME-E03","","Implement quota-validated update with post-change confirmation","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T030204","ACRME-S0302","ACRME-E03","","Add retry and cancellation handling to the request lifecycle","High","","P1","ACRME P1","","",""
"Story","ACRME-S0303","ACRME-E03","ACRME-E03","","Guarded CR reduction with zero-reduction and running-VM safety","High","5","P1","ACRME P1","§5 CR quantity update; R-09","As a capacity operator, I want CR reduction blocked for unknown/destructive scenarios, so that reductions never silently remove capacity relied on by running VMs.

Depends on: ACRME-S0301","- Reduction below allocated/running usage is blocked with a scenario matrix (R-09).
- Zero-size and unknown-behavior scenarios are blocked pending POC evidence.
- Auto-decrease is disabled in Phase 1."
"Sub-task","ACRME-T030301","ACRME-S0303","ACRME-E03","","Implement reduction floor validator against allocation/running usage","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T030302","ACRME-S0303","ACRME-E03","","Encode CR reduction scenario matrix and block unknowns (R-09)","High","","P1","ACRME P1","","",""
"Epic","ACRME-E04","","","CRG Sharing & Consumer Authorization","CRG Sharing & Consumer Authorization","","","","ACRME","§25 Sharing; §5 CRG sharing; Runbook B; R-02","Explicit, read-back-verified CRG sharing across subscriptions with the 100-consumer ceiling handled by sharding, plus safe and forced unsharing.",""
"Story","ACRME-S0401","ACRME-E04","ACRME-E04","","Explicit CRG sharing workflow with full read-back","Highest","8","P1","ACRME P1","§25 Sharing sequence","As a sharing operator, I want a sharing sequence that validates, adds, grants, and reads back every step, so that a relationship is only 'active' after confirmed state.

Depends on: ACRME-S0202","- Sharing adds only explicitly named consumer subscriptions (never tenant-wide).
- Sharing profile and role state are read back and recorded before returning success.
- SharingRelationship entity persisted with active status."
"Sub-task","ACRME-T040101","ACRME-S0401","ACRME-E04","","Model SharingRelationship entity","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T040102","ACRME-S0401","ACRME-E04","","Implement validate->add->grant->readback sharing saga","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T040103","ACRME-S0401","ACRME-E04","","Persist confirmed relationship and expose via Query API","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0402","ACRME-E04","ACRME-E04","","100-consumer ceiling monitoring and CRG sharding","High","5","P1","ACRME P1","R-02; §5 CRG sharing","As a capacity architect, I want continuous relationship-count monitoring and a sharding path, so that the pool never silently breaches the 100-consumer platform limit.

Depends on: ACRME-S0401","- Relationship count monitored continuously, not only at create time (R-02).
- Approaching-limit alert fires before the ceiling is hit.
- Documented sharding procedure splits a pool without downtime."
